Vertical,Base URL,HTTP Method,Path,Full URL,Source,Auth,Notes
Medical Driver,/api/v1/medical-mobile/driver,DELETE,/account,/api/v1/medical-mobile/driver/account,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,PATCH,/account/confirm,/api/v1/medical-mobile/driver/account/confirm,Blocked on this vertical,Medical mobile auth — handler/driver role,Blocked on all new verticals
Medical Driver,/api/v1/medical-mobile/driver,GET,/account/me,/api/v1/medical-mobile/driver/account/me,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,GET,/account/mygrubpacs,/api/v1/medical-mobile/driver/account/mygrubpacs,Blocked on this vertical,Medical mobile auth — handler/driver role,Blocked on all new verticals
Medical Driver,/api/v1/medical-mobile/driver,PUT,/account/password,/api/v1/medical-mobile/driver/account/password,New — vertical-specific,Medical mobile auth — handler/driver role,In-app password change
Medical Driver,/api/v1/medical-mobile/driver,POST,/account/transfer-ownership,/api/v1/medical-mobile/driver/account/transfer-ownership,Blocked on this vertical,Medical mobile auth — handler/driver role,Blocked on all new verticals
Medical Driver,/api/v1/medical-mobile/driver,POST,/account/transfer-ownership/verify,/api/v1/medical-mobile/driver/account/transfer-ownership/verify,Blocked on this vertical,Medical mobile auth — handler/driver role,Blocked on all new verticals
Medical Driver,/api/v1/medical-mobile/driver,PATCH,/account/update/resend-otp,/api/v1/medical-mobile/driver/account/update/resend-otp,Blocked on this vertical,Medical mobile auth — handler/driver role,Blocked on all new verticals
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/check-account,/api/v1/medical-mobile/driver/auth/check-account,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/forget-password/otp/resend,/api/v1/medical-mobile/driver/auth/forget-password/otp/resend,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/forget-password/otp/send,/api/v1/medical-mobile/driver/auth/forget-password/otp/send,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/forget-password/otp/verify,/api/v1/medical-mobile/driver/auth/forget-password/otp/verify,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/forget-password/set-password,/api/v1/medical-mobile/driver/auth/forget-password/set-password,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/login,/api/v1/medical-mobile/driver/auth/login,Reused from delivery-mobile,Medical mobile auth — handler/driver role,Handler role only
Medical Driver,/api/v1/medical-mobile/driver,POST,/auth/logout,/api/v1/medical-mobile/driver/auth/logout,Reused from delivery-mobile,Medical mobile auth — handler/driver role,
